experiment_name,package,n_patients,scenario,HR_target,max_time,cutoff,constrained,dtype,device,computation_time
27_04_2026_wce_no_bootstraps,survivalgpu,500,exponential_scenario,1.3,365,180,,float32,cuda,1.514470100402832
27_04_2026_wce_no_bootstraps,survivalgpu,500,exponential_scenario,1.3,365,180,,float32,cpu,1.064540147781372
27_04_2026_wce_no_bootstraps,WCE,500,exponential_scenario,1.3,365,180,,float64,cpu,0.8285019397735596
27_04_2026_wce_no_bootstraps,survivalgpu,1000,exponential_scenario,1.3,365,180,,float32,cuda,1.1269736289978027
27_04_2026_wce_no_bootstraps,survivalgpu,1000,exponential_scenario,1.3,365,180,,float32,cpu,1.9151110649108887
27_04_2026_wce_no_bootstraps,WCE,1000,exponential_scenario,1.3,365,180,,float64,cpu,2.4509775638580322
27_04_2026_wce_no_bootstraps,survivalgpu,5000,exponential_scenario,1.3,365,180,,float32,cuda,1.0970947742462158
27_04_2026_wce_no_bootstraps,survivalgpu,5000,exponential_scenario,1.3,365,180,,float32,cpu,8.280756950378418
27_04_2026_wce_no_bootstraps,WCE,5000,exponential_scenario,1.3,365,180,,float64,cpu,26.22143244743347
27_04_2026_wce_no_bootstraps,survivalgpu,10000,exponential_scenario,1.3,365,180,,float32,cuda,1.4238877296447754
27_04_2026_wce_no_bootstraps,survivalgpu,10000,exponential_scenario,1.3,365,180,,float32,cpu,18.206153631210327
27_04_2026_wce_no_bootstraps,WCE,10000,exponential_scenario,1.3,365,180,,float64,cpu,78.40885519981384
27_04_2026_wce_no_bootstraps,survivalgpu,50000,exponential_scenario,1.3,365,180,,float32,cuda,4.256906270980835
27_04_2026_wce_no_bootstraps,survivalgpu,50000,exponential_scenario,1.3,365,180,,float32,cpu,98.60618090629578
27_04_2026_wce_no_bootstraps,WCE,50000,exponential_scenario,1.3,365,180,,float64,cpu,1766.650729894638
27_04_2026_wce_no_bootstraps,survivalgpu,100000,exponential_scenario,1.3,365,180,,float32,cuda,8.623037099838257
27_04_2026_wce_no_bootstraps,survivalgpu,100000,exponential_scenario,1.3,365,180,,float32,cpu,201.85301280021667
27_04_2026_wce_no_bootstraps,WCE,100000,exponential_scenario,1.3,365,180,,float64,cpu,8404.543677330017